CONSTTK const
INTTK int
IDENFR const_var1
ASSIGN =
INTCON 2
PLUS +
PLUS +
MINU -
PLUS +
MINU -
PLUS +
INTCON 1
COMMA ,
IDENFR const_arr1
LBRACK [
INTCON 3
RBRACK ]
ASSIGN =
LBRACE {
INTCON 1
COMMA ,
INTCON 2
COMMA ,
INTCON 3
RBRACE }
COMMA ,
IDENFR const_arr2
LBRACK [
INTCON 1
PLUS +
INTCON 1
RBRACK ]
LBRACK [
INTCON 2
RBRACK ]
ASSIGN =
LBRACE {
LBRACE {
INTCON 1
COMMA ,
INTCON 2
RBRACE }
COMMA ,
LBRACE {
INTCON 3
COMMA ,
INTCON 4
RBRACE }
RBRACE }
SEMICN ;
INTTK int
IDENFR var1
ASSIGN =
INTCON 1
MULT *
INTCON 2
COMMA ,
IDENFR arr1
LBRACK [
INTCON 2
RBRACK ]
ASSIGN =
LBRACE {
INTCON 3
MOD %
INTCON 2
COMMA ,
INTCON 4
DIV /
INTCON 2
RBRACE }
COMMA ,
IDENFR arr2
LBRACK [
INTCON 3
MINU -
INTCON 1
RBRACK ]
LBRACK [
INTCON 2
MULT *
INTCON 1
RBRACK ]
ASSIGN =
LBRACE {
LBRACE {
INTCON 1
COMMA ,
INTCON 2
RBRACE }
COMMA ,
LBRACE {
INTCON 3
COMMA ,
INTCON 4
RBRACE }
RBRACE }
COMMA ,
IDENFR arr3
LBRACK [
INTCON 6
RBRACK ]
LBRACK [
INTCON 3
RBRACK ]
SEMICN ;
VOIDTK void
IDENFR fun1
LPARENT (
RPARENT )
LBRACE {
LPARENT (
LPARENT (
INTCON 1
PLUS +
INTCON 0
RPARENT )
RPARENT )
SEMICN ;
LBRACE {
RBRACE }
LBRACE {
LBRACE {
LBRACE {
LBRACE {
LBRACE {
LBRACE {
LBRACE {
LBRACE {
SEMICN ;
RBRACE }
LPARENT (
INTCON 24100
RPARENT )
SEMICN ;
RBRACE }
RBRACE }
RBRACE }
RBRACE }
RBRACE }
RBRACE }
RBRACE }
INTTK int
IDENFR var1
ASSIGN =
INTCON 1190
SEMICN ;
LBRACE {
INTTK int
IDENFR var1
ASSIGN =
INTCON 11900
SEMICN ;
RBRACE }
IFTK if
LPARENT (
IDENFR var1
EQL ==
INTCON 1190
RPARENT )
PRINTFTK printf
LPARENT (
STRCON "pass: local && global var test\n"
RPARENT )
SEMICN ;
ELSETK else
PRINTFTK printf
LPARENT (
STRCON "failed: local && global var test\n"
RPARENT )
SEMICN ;
RETURNTK return
SEMICN ;
RBRACE }
INTTK int
IDENFR fun2
LPARENT (
RPARENT )
LBRACE {
LBRACE {
SEMICN ;
RBRACE }
INTTK int
IDENFR sum
ASSIGN =
INTCON 0
COMMA ,
IDENFR i
ASSIGN =
INTCON 0
SEMICN ;
FORTK for
LPARENT (
IDENFR i
ASSIGN =
INTCON 0
SEMICN ;
IDENFR i
LSS <
INTCON 1190
SEMICN ;
IDENFR i
ASSIGN =
IDENFR i
PLUS +
INTCON 1
RPARENT )
LBRACE {
IFTK if
LPARENT (
IDENFR i
GEQ >=
INTCON 5
RPARENT )
LBRACE {
BREAKTK break
SEMICN ;
RBRACE }
IFTK if
LPARENT (
IDENFR i
GEQ >=
INTCON 4
RPARENT )
LBRACE {
CONTINUETK continue
SEMICN ;
RBRACE }
IDENFR sum
ASSIGN =
IDENFR sum
PLUS +
IDENFR i
SEMICN ;
RBRACE }
FORTK for
LPARENT (
SEMICN ;
SEMICN ;
RPARENT )
LBRACE {
BREAKTK break
SEMICN ;
RBRACE }
FORTK for
LPARENT (
IDENFR i
ASSIGN =
INTCON 0
SEMICN ;
SEMICN ;
RPARENT )
LBRACE {
BREAKTK break
SEMICN ;
RBRACE }
FORTK for
LPARENT (
SEMICN ;
IDENFR i
LSS <
INTCON 0
SEMICN ;
RPARENT )
LBRACE {
RBRACE }
FORTK for
LPARENT (
SEMICN ;
SEMICN ;
IDENFR i
ASSIGN =
IDENFR i
PLUS +
INTCON 1
RPARENT )
LBRACE {
BREAKTK break
SEMICN ;
RBRACE }
FORTK for
LPARENT (
IDENFR i
ASSIGN =
INTCON 0
SEMICN ;
IDENFR i
LSS <
INTCON 0
SEMICN ;
RPARENT )
LBRACE {
BREAKTK break
SEMICN ;
RBRACE }
FORTK for
LPARENT (
IDENFR i
ASSIGN =
INTCON 0
SEMICN ;
SEMICN ;
IDENFR i
ASSIGN =
IDENFR i
PLUS +
INTCON 1
RPARENT )
LBRACE {
BREAKTK break
SEMICN ;
RBRACE }
FORTK for
LPARENT (
SEMICN ;
IDENFR i
LSS <
INTCON 0
SEMICN ;
IDENFR i
ASSIGN =
IDENFR i
PLUS +
INTCON 1
RPARENT )
LBRACE {
BREAKTK break
SEMICN ;
RBRACE }
IFTK if
LPARENT (
NOT !
INTCON 1
OR ||
IDENFR sum
EQL ==
INTCON 13
DIV /
INTCON 2
RPARENT )
LBRACE {
IFTK if
LPARENT (
IDENFR sum
NEQ !=
PLUS +
MINU -
PLUS +
INTCON 1
PLUS +
INTCON 6
RPARENT )
IFTK if
LPARENT (
IDENFR sum
GRE >
INTCON 5
RPARENT )
IFTK if
LPARENT (
IDENFR sum
GEQ >=
INTCON 5
RPARENT )
IFTK if
LPARENT (
IDENFR sum
LSS <
INTCON 7
RPARENT )
IFTK if
LPARENT (
IDENFR sum
LEQ <=
INTCON 7
RPARENT )
LBRACE {
PRINTFTK printf
LPARENT (
STRCON "pass: loop && cond test\n"
RPARENT )
SEMICN ;
RETURNTK return
INTCON 1
SEMICN ;
RBRACE }
RBRACE }
PRINTFTK printf
LPARENT (
STRCON "failed: loop && cond test\n"
RPARENT )
SEMICN ;
RETURNTK return
INTCON 0
SEMICN ;
RBRACE }
INTTK int
IDENFR fun3
LPARENT (
INTTK int
IDENFR a
COMMA ,
INTTK int
IDENFR b
RPARENT )
LBRACE {
IFTK if
LPARENT (
IDENFR a
GRE >
IDENFR b
RPARENT )
RETURNTK return
IDENFR a
SEMICN ;
RETURNTK return
IDENFR b
SEMICN ;
RBRACE }
INTTK int
IDENFR fun4
LPARENT (
INTTK int
IDENFR a
RPARENT )
LBRACE {
INTTK int
IDENFR n
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "please input an int between 1 and 10(border included):\n"
RPARENT )
SEMICN ;
IDENFR n
ASSIGN =
GETINTTK getint
LPARENT (
RPARENT )
SEMICN ;
IFTK if
LPARENT (
IDENFR n
GEQ >=
INTCON 1
AND &&
IDENFR n
LEQ <=
INTCON 10
RPARENT )
LBRACE {
INTTK int
IDENFR tmp1
ASSIGN =
IDENFR a
MINU -
INTCON 0
MULT *
INTCON 2
SEMICN ;
INTTK int
IDENFR tmp2
ASSIGN =
